date,close,open,high,low
2/28/2014,8377.72,8377.72,8377.72,8377.72
2/27/2014,8423.72,8423.72,8423.72,8423.72
2/26/2014,8495.48,8495.48,8495.48,8495.48
2/25/2014,8580.75,8580.75,8580.75,8580.75
2/24/2014,8484.16,8484.16,8484.16,8484.16
2/21/2014,8446.17,8446.17,8446.17,8446.17
2/20/2014,8258.17,8258.17,8258.17,8258.17
2/19/2014,8399.36,8399.36,8399.36,8399.36
2/18/2014,8450.20,8450.20,8450.20,8450.20
2/17/2014,8312.58,8312.58,8312.58,8312.58
2/14/2014,8226.95,8226.95,8226.95,8226.95
2/13/2014,8323.95,8323.95,8323.95,8323.95
2/12/2014,8456.73,8456.73,8456.73,8456.73
2/10/2014,8345.24,8345.24,8345.24,8345.24
2/7/2014,8221.61,8221.61,8221.61,8221.61
2/6/2014,8077.77,8077.77,8077.77,8077.77
2/5/2014,7981.89,7981.89,7981.89,7981.89
2/4/2014,7831.58,7831.58,7831.58,7831.58
2/3/2014,8309.90,8309.90,8309.90,8309.90
1/31/2014,8582.75,8582.75,8582.75,8582.75
1/30/2014,8603.39,8603.39,8603.39,8603.39
1/29/2014,8827.32,8827.32,8827.32,8827.32
1/28/2014,8551.81,8551.81,8551.81,8551.81
1/27/2014,8567.52,8567.52,8567.52,8567.52
1/24/2014,8845.43,8845.43,8845.43,8845.43
1/23/2014,8978.35,8978.35,8978.35,8978.35
1/22/2014,9112.44,9112.44,9112.44,9112.44
1/21/2014,9089.73,9089.73,9089.73,9089.73
1/20/2014,9106.60,9106.60,9106.60,9106.60
1/17/2014,9062.75,9062.75,9062.75,9062.75
1/16/2014,8950.56,8950.56,8950.56,8950.56
1/15/2014,8957.46,8957.46,8957.46,8957.46
1/14/2014,8846.26,8846.26,8846.26,8846.26
1/10/2014,8950.49,8950.49,8950.49,8950.49
1/9/2014,8870.06,8870.06,8870.06,8870.06
1/8/2014,8884.34,8884.34,8884.34,8884.34
1/7/2014,8702.80,8702.80,8702.80,8702.80
1/6/2014,8739.22,8739.22,8739.22,8739.22
12/30/2013,8701.90,8701.90,8701.90,8701.90
12/27/2013,8544.01,8544.01,8544.01,8544.01
12/26/2013,8410.69,8410.69,8410.69,8410.69
12/25/2013,8182.02,8182.02,8182.02,8182.02
12/24/2013,8121.45,8121.45,8121.45,8121.45
12/20/2013,8185.50,8185.50,8185.50,8185.50
12/19/2013,8201.32,8201.32,8201.32,8201.32
12/18/2013,8182.98,8182.98,8182.98,8182.98
12/17/2013,8156.37,8156.37,8156.37,8156.37
12/16/2013,8099.58,8099.58,8099.58,8099.58
12/13/2013,8241.66,8241.66,8241.66,8241.66
12/12/2013,8279.89,8279.89,8279.89,8279.89
12/11/2013,8331.00,8331.00,8331.00,8331.00
12/10/2013,8376.35,8376.35,8376.35,8376.35
12/9/2013,8385.43,8385.43,8385.43,8385.43
12/6/2013,8265.88,8265.88,8265.88,8265.88
12/5/2013,8258.96,8258.96,8258.96,8258.96
12/4/2013,8328.84,8328.84,8328.84,8328.84
12/3/2013,8409.13,8409.13,8409.13,8409.13
12/2/2013,8430.65,8430.65,8430.65,8430.65
11/29/2013,8329.38,8329.38,8329.38,8329.38
11/28/2013,8323.21,8323.21,8323.21,8323.21
11/27/2013,8274.50,8274.50,8274.50,8274.50
11/26/2013,8320.14,8320.14,8320.14,8320.14
11/25/2013,8310.63,8310.63,8310.63,8310.63
11/22/2013,8284.37,8284.37,8284.37,8284.37
11/21/2013,8325.10,8325.10,8325.10,8325.10
11/20/2013,8261.55,8261.55,8261.55,8261.55
11/19/2013,8217.89,8217.89,8217.89,8217.89
11/18/2013,8238.23,8238.23,8238.23,8238.23
11/15/2013,8228.76,8228.76,8228.76,8228.76
11/14/2013,8141.60,8141.60,8141.60,8141.60
11/13/2013,8068.81,8068.81,8068.81,8068.81
11/12/2013,8051.70,8051.70,8051.70,8051.70
11/11/2013,7932.45,7932.45,7932.45,7932.45
11/8/2013,7987.91,7987.91,7987.91,7987.91
11/7/2013,8026.97,8026.97,8026.97,8026.97
11/6/2013,8031.31,8031.31,8031.31,8031.31
11/5/2013,7980.33,7980.33,7980.33,7980.33
11/1/2013,7954.23,7954.23,7954.23,7954.23
10/31/2013,8053.67,8053.67,8053.67,8053.67
10/30/2013,8132.82,8132.82,8132.82,8132.82
10/29/2013,8154.94,8154.94,8154.94,8154.94
10/28/2013,8186.18,8186.18,8186.18,8186.18
10/25/2013,8131.28,8131.28,8131.28,8131.28
10/24/2013,8217.18,8217.18,8217.18,8217.18
10/23/2013,8141.62,8141.62,8141.62,8141.62
10/22/2013,8242.35,8242.35,8242.35,8242.35
10/21/2013,8211.39,8211.39,8211.39,8211.39
10/18/2013,8130.48,8130.48,8130.48,8130.48
10/17/2013,8096.88,8096.88,8096.88,8096.88
10/16/2013,8035.36,8035.36,8035.36,8035.36
10/15/2013,8051.01,8051.01,8051.01,8051.01
10/11/2013,8059.31,8059.31,8059.31,8059.31
10/10/2013,7924.08,7924.08,7924.08,7924.08
10/9/2013,7853.01,7853.01,7853.01,7853.01
10/8/2013,7715.94,7715.94,7715.94,7715.94
10/7/2013,7672.31,7672.31,7672.31,7672.31
10/4/2013,7801.83,7801.83,7801.83,7801.83
10/3/2013,7876.80,7876.80,7876.80,7876.80
10/2/2013,7907.93,7907.93,7907.93,7907.93
10/1/2013,8013.68,8013.68,8013.68,8013.68
9/30/2013,8031.74,8031.74,8031.74,8031.74
9/27/2013,8102.15,8102.15,8102.15,8102.15
9/26/2013,8108.59,8108.59,8108.59,8108.59
9/25/2013,8020.21,8020.21,8020.21,8020.21
9/24/2013,8111.92,8111.92,8111.92,8111.92
9/20/2013,8107.43,8107.43,8107.43,8107.43
9/19/2013,8079.12,8079.12,8079.12,8079.12
9/18/2013,7927.44,7927.44,7927.44,7927.44
9/17/2013,7899.19,7899.19,7899.19,7899.19
9/13/2013,7857.24,7857.24,7857.24,7857.24
9/12/2013,7795.07,7795.07,7795.07,7795.07
9/11/2013,7776.24,7776.24,7776.24,7776.24
9/10/2013,7772.05,7772.05,7772.05,7772.05
9/9/2013,7659.71,7659.71,7659.71,7659.71
9/6/2013,7469.16,7469.16,7469.16,7469.16
9/5/2013,7551.34,7551.34,7551.34,7551.34
9/4/2013,7560.82,7560.82,7560.82,7560.82
9/3/2013,7503.13,7503.13,7503.13,7503.13
9/2/2013,7358.66,7358.66,7358.66,7358.66
8/30/2013,7308.47,7308.47,7308.47,7308.47
8/29/2013,7373.04,7373.04,7373.04,7373.04
8/28/2013,7318.38,7318.38,7318.38,7318.38
8/27/2013,7507.35,7507.35,7507.35,7507.35
8/26/2013,7476.35,7476.35,7476.35,7476.35
8/23/2013,7456.82,7456.82,7456.82,7456.82
8/22/2013,7465.52,7465.52,7465.52,7465.52
8/21/2013,7512.84,7512.84,7512.84,7512.84
8/20/2013,7564.03,7564.03,7564.03,7564.03
8/19/2013,7673.30,7673.30,7673.30,7673.30
8/16/2013,7610.76,7610.76,7610.76,7610.76
8/15/2013,7634.94,7634.94,7634.94,7634.94
8/14/2013,7732.73,7732.73,7732.73,7732.73
8/13/2013,7628.76,7628.76,7628.76,7628.76
8/12/2013,7486.79,7486.79,7486.79,7486.79
8/9/2013,7636.40,7636.40,7636.40,7636.40
8/8/2013,7607.96,7607.96,7607.96,7607.96
8/7/2013,7693.11,7693.11,7693.11,7693.11
8/6/2013,7912.73,7912.73,7912.73,7912.73
8/5/2013,7960.97,7960.97,7960.97,7960.97
8/2/2013,7971.75,7971.75,7971.75,7971.75
8/1/2013,7746.86,7746.86,7746.86,7746.86
7/31/2013,7645.46,7645.46,7645.46,7645.46
7/30/2013,7827.84,7827.84,7827.84,7827.84
7/29/2013,7791.74,7791.74,7791.74,7791.74
7/26/2013,7974.81,7974.81,7974.81,7974.81
7/25/2013,8085.55,8085.55,8085.55,8085.55
7/24/2013,8160.84,8160.84,8160.84,8160.84
7/23/2013,8164.24,8164.24,8164.24,8164.24
7/22/2013,8149.77,8149.77,8149.77,8149.77
7/19/2013,8096.41,8096.41,8096.41,8096.41
