date,open,high,low,close
2021-12-21,13810.2600,13934.9200,13800.8300,13891.2900
2021-12-22,13891.2900,13955.4400,13891.2900,13928.3600
2021-12-23,13928.3600,14046.2400,13928.3600,14030.4900
2021-12-24,14030.4900,14112.7500,14030.4900,14036.6400
2021-12-27,14036.6400,14175.0300,14036.6400,14105.0300
2021-12-28,14105.0300,14272.1700,14105.0300,14270.5000
2021-12-29,14270.5000,14344.6700,14262.5800,14299.9000
2021-12-30,14299.9000,14346.2000,14265.9600,14265.9600
2022-01-03,14265.9600,14459.9600,14265.9600,14383.4100
2022-01-04,14383.4100,14701.3500,14383.4100,14701.3500
2022-01-05,14701.3500,14830.8800,14615.0500,14678.3300
2022-01-06,14678.3300,14678.3300,14428.5200,14551.1800
2022-01-07,14551.1800,14616.4100,14347.9600,14384.4100
2022-01-10,14384.4100,14473.5800,14248.5300,14458.7600
2022-01-11,14458.7600,14573.5000,14386.8700,14573.5000
2022-01-12,14573.5000,14681.3900,14556.1100,14680.6800
2022-01-13,14680.6800,14748.9300,14637.6700,14742.6700
2022-01-14,14742.6700,14842.3200,14596.1500,14770.1700
2022-01-17,14770.1700,14944.3100,14770.1700,14901.2600
2022-01-18,14901.2600,14906.2700,14682.8600,14682.8600
2022-01-19,14682.8600,14682.8600,14514.2000,14545.4400
2022-01-20,14545.4400,14592.6000,14429.2100,14506.9200
2022-01-21,14506.9200,14506.9200,14210.0200,14270.8200
2022-01-24,14270.8200,14430.5200,14149.5400,14410.7400
2022-01-25,14410.7400,14410.7400,14121.4100,14187.4700
2022-01-26,14187.4700,14215.6700,14090.3000,14122.9000
2022-02-04,14122.9000,14122.9000,14122.9000,14122.9000
2022-02-07,14122.9000,14276.6100,14097.6900,14224.4600
2022-02-08,14224.4600,14355.6600,14207.5800,14207.6800
2022-02-09,14207.6800,14374.8300,14207.6800,14348.6500
2022-02-10,14348.6500,14575.6200,14348.6500,14575.6200
2022-02-11,14575.6200,14575.6200,14435.3300,14558.3000
2022-02-14,14558.3000,14558.3000,14252.3100,14289.3800
2022-02-15,14289.3800,14338.5300,14217.2600,14225.1800
2022-02-16,14225.1800,14474.8000,14225.1800,14471.5700
2022-02-17,14471.5700,14519.5200,14407.9200,14477.3400
2022-02-18,14477.3400,14477.3400,14317.4400,14388.1700
2022-02-21,14388.1700,14397.6000,14291.6100,14361.3300
2022-02-22,14361.3300,14361.3300,14103.5300,14196.6200
2022-02-23,14196.6200,14276.5500,14161.2400,14218.3400
2022-02-24,14218.3400,14218.3400,13821.0100,13827.2100
2022-02-25,13827.2100,13919.6100,13779.2800,13854.3200
2022-03-01,13854.3200,14079.4600,13838.8800,14010.9900
2022-03-02,14010.9900,14017.1800,13911.0700,13961.1200
2022-03-03,13961.1200,14085.7900,13961.1200,14001.9100
2022-03-04,14001.9100,14001.9100,13797.9500,13833.4100
2022-03-07,13833.4100,13833.4100,13362.6800,13390.3200
2022-03-08,13390.3200,13390.3200,13080.5100,13122.6200
2022-03-09,13122.6200,13320.1000,13122.6200,13253.4400
2022-03-10,13253.4400,13665.8000,13253.4400,13626.2500
2022-03-11,13626.2500,13626.2500,13433.9300,13456.9000
2022-03-14,13456.9000,13525.0500,13406.6800,13419.3900
2022-03-15,13419.3900,13419.3900,13139.8600,13153.8600
2022-03-16,13153.8600,13266.6800,13065.4600,13162.4700
2022-03-17,13162.4700,13637.4000,13162.4700,13608.0900
2022-03-18,13608.0900,13634.8500,13511.3600,13601.3600
2022-03-21,13601.3600,13733.5400,13601.3600,13689.8000
2022-03-22,13689.8000,13689.8000,13586.5200,13660.3800
2022-03-23,13660.3800,13813.7100,13660.3800,13812.5200
2022-03-24,13812.5200,13812.5200,13705.3800,13800.0200
2022-03-25,13800.0200,13862.0600,13791.0000,13834.8800
